iteration,Ux_initial,Uy_initial,Uz_initial,p_initial,Ux_final,Uy_final,Uz_final,p_final,p_corrections,Ux_linear_iterations,Uy_linear_iterations,Uz_linear_iterations,continuity_local,continuity_global,continuity_cumulative
107,0.0014988343,0.0017610684,0.0017816232,0.01146492,4.716274e-05,6.0230578e-05,6.273486e-05,1.9477217e-05,3,3,3,3,0.047533131,0.00022795596,1.3211674
108,0.0014902946,0.0017521447,0.00176768,0.011384291,4.6639287e-05,5.9710134e-05,6.1964855e-05,1.701261e-05,3,3,3,3,0.041551656,0.00077414047,1.3219415
109,0.0014821244,0.0017440094,0.0017531007,0.011334312,4.6114332e-05,5.9194435e-05,6.1162779e-05,1.8809171e-05,3,3,3,3,0.045977322,0.00029504086,1.3222366
110,0.0014753233,0.0017361958,0.0017376797,0.01131372,4.5626358e-05,5.8671435e-05,6.0340799e-05,1.6726596e-05,3,3,3,3,0.04091769,0.00058774677,1.3228243
111,0.0014695823,0.001728569,0.0017212134,0.011311264,4.5216022e-05,5.8118187e-05,5.9476171e-05,1.6847366e-05,3,3,3,3,0.04124902,0.00049861207,1.3233229
112,0.0014659098,0.0017204928,0.0017045172,0.011315328,4.4883915e-05,5.7549692e-05,5.8595334e-05,1.6917876e-05,3,3,3,3,0.041459105,0.00046185206,1.3237848
113,0.0014629553,0.0017114764,0.0016871277,0.011288883,4.4583239e-05,5.6981889e-05,5.7693295e-05,1.6877605e-05,3,3,3,3,0.041395748,0.00046266625,1.3242475
114,0.0014605532,0.0017015385,0.001669459,0.011238442,4.4300863e-05,5.6414588e-05,5.6832887e-05,1.7002344e-05,3,3,3,3,0.041735656,0.00048185582,1.3247293
115,0.0014584406,0.0016907374,0.0016521714,0.011177882,4.4060706e-05,5.5866587e-05,5.6020407e-05,1.6977412e-05,3,3,3,3,0.041710853,0.00051935343,1.3252487
116,0.0014569902,0.0016802976,0.0016347153,0.011133844,4.3835508e-05,5.5344402e-05,5.5207623e-05,1.6930519e-05,3,3,3,3,0.041633583,0.00054381914,1.3257925
117,0.0014568767,0.0016712243,0.0016166593,0.011109941,4.3649264e-05,5.4851752e-05,5.4377592e-05,1.6794211e-05,3,3,3,3,0.041336749,0.00054752253,1.32634
118,0.0014575795,0.0016619086,0.0015980953,0.011062643,4.3497989e-05,5.4414653e-05,5.3545621e-05,1.662561e-05,3,3,3,3,0.040960271,0.00051402658,1.326854
119,0.0014593012,0.001652792,0.0015789331,0.01100147,4.3356546e-05,5.3994104e-05,5.2701633e-05,1.6024805e-05,3,3,3,3,0.039517939,0.00082536558,1.3276794
120,0.0014621412,0.0016430706,0.0015593546,0.010948535,4.3211553e-05,5.3531167e-05,5.1842186e-05,1.604588e-05,3,3,3,3,0.039608857,0.00084971613,1.3285291
121,0.0014658966,0.001632772,0.0015393659,0.010916122,4.3067895e-05,5.303415e-05,5.0975963e-05,1.6188717e-05,3,3,3,3,0.040001053,0.00084153195,1.3293706
122,0.0014688064,0.0016213334,0.0015194163,0.010872764,4.2922998e-05,5.2498334e-05,5.01015e-05,1.6812529e-05,3,3,3,3,0.041582486,0.0005832324,1.3299539
123,0.0014701421,0.0016090592,0.0014992857,0.01082809,4.2756412e-05,5.1922699e-05,4.9241432e-05,1.6203557e-05,3,3,3,3,0.040113036,0.00045739445,1.3304113
124,0.0014699949,0.0015957349,0.0014789115,0.010774011,4.2562186e-05,5.1284294e-05,4.8410342e-05,1.5516467e-05,3,3,3,3,0.038446504,0.00039459136,1.3308059
125,0.0014687998,0.001580939,0.0014581779,0.010711011,4.2337693e-05,5.0596135e-05,4.7589288e-05,1.5287856e-05,3,3,3,3,0.037912732,-2.5383488e-05,1.3307805
126,0.0014659491,0.0015646758,0.0014378068,0.010632901,4.2138394e-05,4.988955e-05,4.677976e-05,1.5218377e-05,3,3,3,3,0.037771425,-0.0006050735,1.3301754
127,0.0014620076,0.0015481094,0.0014173144,0.010548597,4.1951912e-05,4.9184615e-05,4.5962165e-05,1.7338186e-05,3,3,3,3,0.04306683,-0.00023139458,1.329944
128,0.0014575847,0.0015311899,0.001396993,0.010449654,4.1760427e-05,4.8498227e-05,4.5149709e-05,1.7518875e-05,3,3,3,3,0.043552286,-0.000206994,1.329737
129,0.0014530954,0.001513608,0.0013764004,0.010355546,4.1597384e-05,4.7807003e-05,4.4364435e-05,1.4873736e-05,3,3,3,3,0.037004537,-0.00034175271,1.3293953
130,0.0014491932,0.001495596,0.0013561542,0.01027696,4.147796e-05,4.7117034e-05,4.3574229e-05,1.4798605e-05,3,3,3,3,0.036841622,-0.00020255165,1.3291927
131,0.0014465923,0.0014777152,0.001336413,0.010200666,4.1350348e-05,4.645833e-05,4.2778518e-05,1.4804728e-05,3,3,3,3,0.036879988,-0.00049833319,1.3286944
132,0.0014444897,0.0014610793,0.0013172541,0.010129097,4.1275507e-05,4.5816265e-05,4.1955143e-05,1.7366556e-05,3,3,3,3,0.043288157,-6.5484709e-05,1.3286289
133,0.0014412846,0.0014460523,0.0012983796,0.01005533,4.1209904e-05,4.5187856e-05,4.1140566e-05,1.6684077e-05,3,3,3,3,0.041614286,-0.00011383261,1.3285151
134,0.0014374097,0.0014312797,0.0012799967,0.0099796477,4.110104e-05,4.4556825e-05,4.0327146e-05,1.464122e-05,3,3,3,3,0.036542559,-0.00040017785,1.3281149
135,0.0014328197,0.001416827,0.0012613958,0.0098933031,4.093907e-05,4.3932819e-05,3.9526819e-05,1.5978415e-05,3,3,3,3,0.039904119,-0.00012710538,1.3279878
136,0.0014276083,0.0014033102,0.0012430445,0.0098131195,4.0722321e-05,4.3313713e-05,3.8731149e-05,1.4741859e-05,3,3,3,3,0.036839038,-0.00041345838,1.3275743
137,0.0014217747,0.0013892326,0.0012245108,0.0097496538,4.048788e-05,4.269088e-05,3.7934092e-05,1.6519043e-05,3,3,3,3,0.041303115,-5.3829521e-05,1.3275205
138,0.0014150752,0.0013747429,0.0012059452,0.0096873636,4.0257902e-05,4.2102913e-05,3.7165704e-05,1.5719844e-05,3,3,3,3,0.039327863,-5.2428501e-06,1.3275153
139,0.0014077906,0.0013593696,0.0011875801,0.0096178799,4.0061072e-05,4.1524986e-05,3.6435335e-05,1.4471505e-05,3,3,3,3,0.036224892,-0.0002863444,1.3272289
140,0.0014004791,0.0013437975,0.0011692707,0.0095523165,3.9874431e-05,4.0955635e-05,3.5701792e-05,1.4397131e-05,3,3,3,3,0.036056355,-0.00028693423,1.326942
141,0.0013927705,0.001328308,0.0011510094,0.0094794717,3.9686052e-05,4.0417834e-05,3.5005713e-05,1.6435624e-05,3,3,3,3,0.041181436,-4.1141796e-05,1.3269008
142,0.0013844641,0.0013135974,0.0011332067,0.0093951242,3.9470779e-05,3.9943839e-05,3.4379368e-05,1.557475e-05,3,3,3,3,0.03904502,-4.157082e-05,1.3268593
143,0.0013762903,0.0012993152,0.0011155884,0.0093051536,3.9221993e-05,3.9482625e-05,3.3787467e-05,1.4237194e-05,3,3,3,3,0.035710225,-0.00029205784,1.3265672
144,0.0013695561,0.0012851938,0.0010990112,0.0092211498,3.9029525e-05,3.9026076e-05,3.3223113e-05,1.4126719e-05,3,3,3,3,0.035449114,-0.00033732428,1.3262299
